trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.6636502501363194}",30,0,-97.24761442015053,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
43,False,"{'a': 0.1, 'e': 0.6570468198150567}",25,0,-87.80186751130842,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.1, 'e': 0.6505090947233165}",25,0,-134.47449955885426,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.6440364210831414}",20,14,-0.052127498222254376,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.6376281516217733}",20,2,-34.02161802705147,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.631283645506926}",25,0,-93.56135276694064,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.6250022682827008}",20,0,-66.420044515021,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.6187833918061408}",25,0,-81.65838670023267,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.1, 'e': 0.6126263941844161}",25,14,-16.986372355629804,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.6065306597126334}",25,0,-125.1581120774365,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.6004955788122659}",30,7,-128.96758200960878,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
53,False,"{'a': 0.1, 'e': 0.5945205479701944}",20,0,-88.90194701980057,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.5886049696783552}",25,0,-51.948348962495906,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.1, 'e': 0.5827482523739896}",30,0,-100.1905648744511,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
56,False,"{'a': 0.1, 'e': 0.5769498103804866}",25,19,-3.414418098402302,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.5712090638488149}",30,0,-95.26763488782203,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
58,False,"{'a': 0.1, 'e': 0.5655254386995371}",25,0,-177.0174596150432,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
59,False,"{'a': 0.1, 'e': 0.559898366565402}",20,0,-40.967695418125004,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.5543272847345071}",25,13,8.890653089029339,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.1, 'e': 0.5488116360940265}",25,0,-51.385876712824476,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.5433508690744998}",25,0,-112.9251561321692,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
63,False,"{'a': 0.1, 'e': 0.5379444375946745}",20,0,-31.53173441750391,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
64,False,"{'a': 0.1, 'e': 0.5325918010068972}",20,0,-36.553199026634054,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
65,False,"{'a': 0.1, 'e': 0.5272924240430485}",25,2,-48.78975102313532,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 0}",1
66,False,"{'a': 0.1, 'e': 0.522045776761016}",25,0,-1.5353684129183558,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.1, 'e': 0.5168513344916992}",20,0,-4.1238033818361295,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.1, 'e': 0.5117085777865424}",30,0,-61.587762440401626,"{0: 24, 1: 3, 2: 0, 3: 2, 4: 1}",0
